Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ZFok6nDttzt0aXk0VRaCX,"BABY GANGSTA","BAÑO MARÍA","CA7RIEL & Paco Amoroso",2024-04-17,153833,59,false,brunocaivanophy,2025-12-07T18:56:02Z,"","5020 Records",0.722,0.629,6,-5.84,0,0.19,0.149,0.0000127,0.118,0.365,166.888,4
spotify:track:2Lu5TXqQYUQghTwsFrkOa3,"Frontin' (feat. JAY-Z) - Radio Mix","The Neptunes Present... Clones (Clean Version)","Pharrell Williams;JAŸ-Z",2003-08-19,236586,43,false,brunocaivanophy,2025-12-07T18:57:28Z,"hip hop,East Coast hip hop,rap","Arista/Legacy",0.885,0.395,9,-6.163,0,0.169,0.44,0.00000207,0.147,0.801,101.983,4
spotify:track:1GEA92t5aEg35HLKrGfBUU,"Lo Que Nos Mata","Leche","Illya Kuryaki & The Valderramas",1999-01-01,337586,43,false,brunocaivanophy,2025-12-07T18:38:52Z,"rock en español,rock argentino,rock latino,alternativa latina","Universal Music S.A.",0.671,0.783,2,-6.03,1,0.0593,0.111,0.000831,0.324,0.822,84.879,4
spotify:track:3Pl1pvzSvcOXunjzwNFYZX,"Back In The Day","Worldwide Underground","Erykah Badu",2003-09-16,286920,0,false,brunocaivanophy,2025-12-09T02:21:06Z,"neosoul,R&B","Universal Music Group",0.746,0.547,5,-9.236,0,0.0903,0.224,0.0345,0.201,0.528,91.839,4
spotify:track:3yDTPVOsx4DiyBSwHR0LOE,"A La Salida","RÍO DE LA PLATA","Abril Olivera",2025-11-05,167103,30,false,brunocaivanophy,2026-02-04T05:12:01Z,"r&b latino","Abril Olivera",0.742,0.469,0,-8.859,1,0.142,0.186,0.0116,0.342,0.666,81.977,4
spotify:track:6LGwYMXXgURfaequXipzHx,"You Don't Know My Name","The Diary Of Alicia Keys","Alicia Keys",2003-12-02,366733,70,false,brunocaivanophy,2025-12-07T18:55:37Z,"R&B,neosoul","J Records",0.264,0.663,9,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078,4
spotify:track:7louqaPQ9cminB0p1W7RdC,"Pasan los Días","Cookin Bananas (5 Aniversario / Remasterizado)","Cookin Soul;Mucho Muchacho",2018-04-17,199275,22,true,brunocaivanophy,2025-12-07T18:44:41Z,"","Cookin Soul Records",0.4,0.891,8,-6.179,1,0.45,0.415,0.00000292,0.174,0.572,176.025,4
spotify:track:6gpZSI0xEMTzleBc5ykOVA,"Heart Of The City (Ain't No Love)","The Blueprint (Explicit Version)","JAŸ-Z",2001-09-11,223240,62,true,brunocaivanophy,2025-12-07T18:56:37Z,"hip hop,East Coast hip hop,rap","Roc-A-Fella",0.606,0.943,6,-3.948,1,0.276,0.088,0.0039,0.342,0.802,171.027,4
spotify:track:7EQvdUJqZ2i7SWvSB2VqGA,"Doomsday","Operation: Doomsday (Complete)","MF DOOM;Pebbles The Invisible Girl",1999-10-19,298053,73,true,brunocaivanophy,2025-12-24T16:14:01Z,"hip hop experimental,East Coast hip hop,jazz rap,hip hop alternativo","Metalface Records",0.856,0.84,6,-7.736,0,0.334,0.0973,0,0.0773,0.792,95.416,4
spotify:track:6ZRGFzQRNrdU9BCd7DgUNf,"Day In The Sun (Gettin' wit U)","Cabin In The Sky","De La Soul;Q-Tip;Yummy Bingham",2025-11-21,257608,43,true,brunocaivanophy,2025-12-07T19:15:23Z,"jazz rap,East Coast hip hop","Mass Appeal Records",0.636,0.786,1,-5.618,1,0.342,0.0969,0.00000206,0.17,0.816,187.597,4
spotify:track:7dE5rfjZoPtLHgV5i5eseh,"Y? (Be Like That) - Jay Dee Remix","Labcabincalifornia (Deluxe Edition)","The Pharcyde;J Dilla",1995-01-01,295293,38,true,brunocaivanophy,2025-12-07T18:40:20Z,"jazz rap,West Coast hip hop,hip hop vieja escuela,hip hop,plunderphonics,hip hop alternativo","The Bicycle Music Company",0.865,0.579,9,-6.97,0,0.349,0.109,0.00000871,0.105,0.654,91.762,4
spotify:track:0spcXwgrXTcRyPUYNiZJaW,"LOS DEL BOHIO","OKUPAS","Little Boogie;STEREO",2025-11-13,228370,42,false,brunocaivanophy,2025-12-24T20:31:36Z,"","GIL",0.358,0.482,11,-8.11,0,0.0491,0.39,0,0.23,0.39,91.461,4
spotify:track:5kLrkvnJ1eLZCSCAMFxPPP,"Saturno - Emelvi Remix","Saturno","Dano;Emelvi",2015-09-29,140689,0,true,brunocaivanophy,2025-12-07T18:38:36Z,"trap argentino,hip hop latino","Ziontifik / MÉCÈN Ent.",0.762,0.848,7,-8.797,1,0.262,0.0686,0.0000501,0.0971,0.68,116.197,4
spotify:track:7GzaH0zO74RwTqwByWpOzE,"Good Timez","Big Syke Daddy","Big Syke",2001-09-25,241200,31,true,brunocaivanophy,2025-12-09T02:24:44Z,"g-funk,West Coast hip hop","Rideonum Entertainment Group",0.847,0.654,8,-4.408,0,0.147,0.057,0.00000908,0.161,0.759,102.678,4
spotify:track:0p1Mp6sT4Nzq3DWnZPvqs8,"Starship Syncopation","Starship Syncopation","Cory Wong;Metropole Orkest;Jules Buckley",2024-07-26,230587,47,false,brunocaivanophy,2025-12-07T18:54:46Z,"funk,jazz funk,jazz fusión","Roundwound Media, LLC.",0.79,0.855,10,-7.27,1,0.0469,0.228,0.924,0.164,0.834,120.031,4
spotify:track:22sOzufAavitHhMx12ZVrn,"How Good Is Your Game","Let 'Em In","Billy Paul",1976-01-01,247693,26,false,brunocaivanophy,2025-12-07T18:46:43Z,"soul de Filadelfia,soul clásico,soul,motown","Legacy Recordings",0.658,0.684,9,-9.141,1,0.108,0.0624,0.00000211,0.854,0.778,96.028,4
spotify:track:7Euf5joMjBJB2MYbhsXKoO,"I Love (The Skin You're In)","Face to Face (Bonus Track Version)","G.Q.",2014-05-30,292413,29,false,brunocaivanophy,2025-12-07T18:38:04Z,"disco,post-disco","Legacy Recordings",0.725,0.57,9,-13.387,0,0.0368,0.0596,0.000125,0.224,0.942,106.925,4
