Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4WAfhfnW34FK27nZlpVgoI,"Dawn","The Aura Will Prevail","George Duke;Alfonso ""Slim"" Johnson;Leon ""Ndugu"" Chancler",1975,293478,4,false,brunocaivanophy,2022-07-01T01:31:41Z,"jazz funk,jazz fusión,smooth jazz,funk","MPS",0.327,0.417,1,-16.637,0,0.0759,0.0834,0.874,0.0977,0.7,164.936,4
spotify:track:6m85eOs3GEWY6aVOwRttus,"A Secret Place","A Secret Place","Grover Washington, Jr.",1976-01-01,495413,31,false,brunocaivanophy,2020-03-27T18:54:46Z,"soul jazz,smooth jazz","Verve Reissues",0.772,0.345,3,-15.697,0,0.0298,0.437,0.848,0.106,0.714,103.575,4
spotify:track:3cOgBa1s7mgkEBFkWgpsut,"Ghetto: Misfortune's Wealth","Ghetto: Misfortune's Wealth","24 Carat Black",1973-01-01,224864,29,false,brunocaivanophy,2021-09-28T15:47:53Z,"jazz funk","Stax",0.404,0.683,7,-10,1,0.18,0.101,0.00000101,0.0694,0.805,182.77,4
spotify:track:1282d6xtOZ3GDYN3V3h058,"Cosmic Reign","Images","The Crusaders",1978-01-01,440386,9,false,brunocaivanophy,2024-05-24T01:40:42Z,"jazz funk,jazz fusión,smooth jazz,soul jazz","GRP",0.598,0.711,4,-10.207,0,0.0547,0.0192,0.483,0.0956,0.6,121.982,4
spotify:track:3ihmJ6AKx2BC6vWhx25eaH,"Let the Dollar Circulate","When Love Is New","Billy Paul",1975-12-01,298800,33,false,brunocaivanophy,2021-11-15T17:51:39Z,"soul de Filadelfia,soul clásico,soul,motown","Legacy Recordings",0.616,0.756,3,-9.24,0,0.0396,0.0151,0.000317,0.0648,0.884,95.936,4
spotify:track:2llFlNkPX4hW1M3HLdEMBm,"ブリーズ","ファンキー・スタッフ","稲垣次郎とソウル・メディア",1975-01-25,277160,55,false,brunocaivanophy,2021-06-22T23:18:36Z,"jazz fusión,jazz funk,jazz,city pop","Nippon Columbia Co., Ltd./NIPPONOPHONE",0.605,0.45,0,-12.706,0,0.0402,0.336,0.833,0.0667,0.763,88.17,4
spotify:track:2CsnpBAB8VQMTyPuws57ao,"Huit octobre 1971","Troupeau bleu","Cortex",1975-07-15,266040,58,false,brunocaivanophy,2020-12-08T18:47:08Z,"jazz fusión,jazz funk","Sonodisc",0.512,0.661,2,-10.514,1,0.0683,0.219,0.855,0.155,0.778,82.006,4
spotify:track:6lBOzYGkoPJz4tte6J4g0N,"Walking In Rhythm","Flying Start","The Blackbyrds",1974-11-01,254560,48,false,brunocaivanophy,2021-08-24T19:48:24Z,"jazz funk,funk","Fantasy",0.68,0.665,5,-13,1,0.0313,0.0188,0.00029,0.056,0.817,113.066,4
spotify:track:2B2MpyO86cVAVjNyBDhXYc,"Daylight","Come Into Knowledge","RAMP",1977,252320,45,false,brunocaivanophy,2021-03-19T00:44:01Z,"jazz funk","Verve",0.506,0.527,0,-11.758,1,0.0526,0.565,0.0159,0.131,0.592,171.755,3
spotify:track:4iyH37AHAkYK1MVhveeqcm,"Dreamflower","Tarika Blue","Tarika Blue",1977,255533,50,false,brunocaivanophy,2020-03-27T19:00:50Z,"jazz funk,jazz fusión","DOWNTOWN SOUND",0.551,0.252,3,-17.767,0,0.0293,0.77,0.719,0.0834,0.376,134.878,4
spotify:track:2zQl59dZMzwhrmeSBEgiXY,"Watermelon Man","Head Hunters","Herbie Hancock",1973-10-26,390432,55,false,brunocaivanophy,2020-03-27T19:00:10Z,"jazz,jazz fusión,jazz funk,hard bop,cool jazz","Columbia/Legacy",0.724,0.414,1,-11.19,1,0.0588,0.262,0.111,0.0785,0.719,146.939,4
spotify:track:14ESkNADZpFr1gl0ucZJhk,"Never Can Say Goodbie","Back Home","Opa",2015-09-02,180066,5,false,brunocaivanophy,2020-04-07T19:14:57Z,"candombe,jazz fusión,jazz funk","Perro Andaluz",0.556,0.423,0,-14.055,1,0.0329,0.0182,0.0022,0.113,0.525,129.712,4
spotify:track:1uOgZkPPwGgya04nRoM1wy,"Liquid Love","Virgin Ubiquity II","Roy Ayers;Sylvia Cox",2018-12-01,286533,43,false,brunocaivanophy,2020-03-27T19:04:26Z,"jazz funk,acid jazz,funk,soul jazz","BBE Music",0.463,0.6,10,-6.968,0,0.0259,0.0812,0.0437,0.036,0.652,82.623,4
spotify:track:4IfdhGXh7L9dcLdo0BBErX,"Sansho Shima","Moonscapes (Expanded Edition)","Bennie Maupin",2018-04-06,265613,3,false,brunocaivanophy,2020-03-27T19:21:14Z,"free jazz,jazz ambient,jazz fusión,jazz funk,jazz experimental","Verve Reissues",0.302,0.772,2,-6.649,1,0.0505,0.0358,0.669,0.0824,0.41,154.44,4
spotify:track:6nQ5BgxkRV5adJWZ5J3yhO,"Lifeline","Lifeline","Roy Ayers Ubiquity",1977,173346,27,false,brunocaivanophy,2020-03-27T19:08:53Z,"jazz funk","GRP",0.513,0.747,3,-10.356,0,0.0362,0.189,0.0692,0.0731,0.825,158.388,4
spotify:track:3qQVUOHJdgIFWJd0jrG9GE,"Doin' It","Secrets","Herbie Hancock",1976-08,483454,43,false,brunocaivanophy,2020-03-27T18:59:28Z,"jazz,jazz fusión,jazz funk,hard bop,cool jazz","Columbia/Legacy",0.739,0.882,11,-11.946,0,0.0539,0.109,0.684,0.0185,0.941,98.424,4
spotify:track:76G7SNDx6ME9uo5Jatfrmy,"Not Yet","A Secret Place","Grover Washington, Jr.",1976-01-01,516786,12,false,brunocaivanophy,2020-03-27T18:55:00Z,"soul jazz,smooth jazz","Verve Reissues",0.712,0.485,8,-13.735,1,0.0374,0.0364,0.727,0.0761,0.66,94.956,4
spotify:track:4XZsicxMK8yudpD9MKuj2W,"He's A Superstar","He's Coming","Roy Ayers Ubiquity",1972,337733,20,false,brunocaivanophy,2020-03-27T19:11:33Z,"jazz funk","Verve Reissues",0.612,0.723,7,-14.337,0,0.0424,0.0879,0.00509,0.101,0.606,116.67,4
spotify:track:5auoTx37kFAKpVspqx3e25,"Blue Mode","Blue Mode","Reuben Wilson",1970-01-01,446666,23,false,brunocaivanophy,2020-03-27T19:22:45Z,"jazz funk,soul jazz,acid jazz","CM BLUE NOTE (A92)",0.538,0.463,3,-13.073,1,0.0314,0.829,0.892,0.0865,0.862,109.033,4
spotify:track:6NXRVS6v6dVLYb8VGcGtbV,"Show Of Hands","Oh!","Will Lee",1995-01-01,407826,0,false,brunocaivanophy,2020-03-27T19:13:07Z,"jazz funk,jazz fusión","Go Jazz",0.768,0.698,0,-8.148,1,0.0753,0.0216,0.00185,0.161,0.755,118.949,4
spotify:track:5rpTqpDuUYWFBQinWlYpOv,"Anua","Moonscapes (Expanded Edition)","Bennie Maupin",2018-04-06,409746,5,false,brunocaivanophy,2020-03-27T19:18:17Z,"free jazz,jazz ambient,jazz fusión,jazz funk,jazz experimental","Verve Reissues",0.567,0.735,9,-9.397,0,0.0306,0.0662,0.495,0.0741,0.825,100.323,4
