Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5NBAy2oiS9OIWyAZhklsH2,"Portrait of Tracy","Jaco Pastorius","Jaco Pastorius",1976,142466,46,false,brunocaivanophy,2024-07-01T06:29:32Z,"jazz fusión,jazz funk,jazz","Epic/Legacy",0.238,0.0536,0,-28.218,1,0.0515,0.974,0.948,0.106,0.116,68.031,3
spotify:track:2zdg5ICoK5WGKCpX1LAdOf,"Last Donut Of The Night","Donuts","J Dilla",2006-02-07,99600,43,false,brunocaivanophy,2024-07-01T06:45:34Z,"plunderphonics,hip hop alternativo,jazz rap","Stones Throw Records",0.536,0.662,10,-7.384,0,0.385,0.375,0.466,0.444,0.472,80.727,4
spotify:track:1QJb6LWvPXZpTMiqqODqkH,"Prototype","Speakerboxxx/The Love Below","Outkast",2003,326240,58,false,brunocaivanophy,2024-07-01T06:30:33Z,"hip hop sureño,hip hop","Arista",0.643,0.376,9,-7.424,1,0.0426,0.348,0.000335,0.111,0.193,76.002,4
spotify:track:1MTQHCpraD4S8g5PAFKzoj,"Behind Blue Eyes","Results May Vary","Limp Bizkit",2003-01-01,269973,79,false,brunocaivanophy,2024-07-01T06:30:54Z,"nu metal,rap metal,metal alternativo,rap rock","Limp Bizkit / Interscope",0.595,0.489,7,-6.66,1,0.0271,0.497,0,0.119,0.0902,120.312,4
spotify:track:5cXQjDLQbbuQqJBRKvJqjW,"PARANOIA INTRO","Cold Visions","Bladee",2024-04-24,70549,0,false,brunocaivanophy,2024-07-01T06:33:30Z,"cloud rap,hyperpop","Trash Island",0.561,0.726,1,-6.958,1,0.0809,0.0279,0.0041,0.895,0.473,139.947,5
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,"Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232114,84,true,brunocaivanophy,2024-07-01T06:33:12Z,"","L-M Records/RCA Records",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
spotify:track:6NNaiNUhnA4U5JqFmHQF64,"Ser Así - Kyddiekafka Remix","Braille Remixes EP","Dano;$kyhook;Kyddiekafka",2017-12-20,169420,0,true,brunocaivanophy,2024-07-01T06:33:03Z,"trap argentino,hip hop latino,witch house","MÉCÈN Ent.",0.681,0.617,11,-7.869,1,0.0309,0.0782,0.000384,0.103,0.165,135.986,4
spotify:track:3ncWqfvF0xoWu9ewGtKXNl,"FLATLINE","Cold Visions","Bladee",2024-04-24,174324,0,true,brunocaivanophy,2024-07-01T06:33:42Z,"cloud rap,hyperpop","Trash Island",0.704,0.727,4,-7.136,1,0.176,0.0982,0.0000255,0.319,0.667,148.045,4
spotify:track:6C5WUTkLueOuTMNWGRGgDe,"BENADRYL","eclips3","Saramalacara;dayvan;Evar",2022-11-04,187261,38,false,brunocaivanophy,2024-07-01T06:33:56Z,"hyperpop,trap argentino","Bohemian Groove",0.352,0.699,2,-8.495,0,0.112,0.198,0.00415,0.103,0.191,80.303,4
spotify:track:1YPxUUih6iIQsCshtPkv2L,"Pogo","Idealism","Digitalism",2007-05-09,226466,58,false,brunocaivanophy,2024-07-01T06:34:08Z,"electroclash,new rave,house francés","Magnetism",0.403,0.754,0,-5.256,1,0.0442,0.0000608,0.0000771,0.466,0.398,136.027,4
spotify:track:6UO72VSXEONxdfLyABihs9,"Black Star","The Bends","Radiohead",1995-03-13,247040,71,false,brunocaivanophy,2024-07-01T06:56:03Z,"art rock,rock alternativo","XL Recordings",0.289,0.555,7,-7.434,1,0.0402,0.00312,0.0496,0.27,0.306,158.671,4
spotify:track:2O1fWJD4M38spxqK6ly8qZ,"Orbitron","Transmission, Flux","Duster",1997-01-01,138266,46,false,brunocaivanophy,2024-07-01T06:54:59Z,"slowcore,shoegaze","Numero Group",0.49,0.411,2,-10.835,1,0.0303,0.0559,0.757,0.136,0.101,115.628,4
spotify:track:61rjspU9Rmf2NdrSmkVv0v,"Old, New Bycicle","The Acrobats","Helvetia",2008-01-01,260320,35,false,brunocaivanophy,2024-07-01T06:54:31Z,"slowcore,shoegaze,indie lo-fi","The Static Cult Label",0.653,0.944,8,-6.98,1,0.078,0.429,0.899,0.114,0.729,89.072,4
spotify:track:1Rd5OVjqDAr5xC96MHt448,"Daydreaming","A Moon Shaped Pool","Radiohead",2016-05-08,384438,61,false,brunocaivanophy,2024-07-01T06:55:42Z,"art rock,rock alternativo","XL Recordings",0.214,0.263,9,-13.207,0,0.0336,0.968,0.853,0.126,0.113,137.561,3
spotify:track:2aPTvyE09vUCRwVvj0I8WK,"Sundress","Sundress","A$AP Rocky",2018-11-20,158205,80,true,brunocaivanophy,2024-07-01T06:35:05Z,"rap","A$AP Worldwide/Polo Grounds Music/RCA Records",0.721,0.707,6,-6.364,1,0.0595,0.181,0.00000368,0.143,0.743,125.005,4
spotify:track:32hmIJoOZOS1WM0LL9zzeM,"pensando en mí","q*","ill quentin",2023-11-08,144348,23,false,brunocaivanophy,2024-07-01T06:34:28Z,"trap argentino","Bohemian Groove",0.66,0.618,8,-7.547,1,0.0521,0.0187,0.614,0.101,0.596,167.025,4
spotify:track:38ygVW7oemQ0vmcpjxYFDH,"The Memory","Vibrations","Roy Ayers Ubiquity",1976,272093,44,false,brunocaivanophy,2024-07-01T06:34:43Z,"jazz funk","Verve Reissues",0.443,0.731,8,-7.575,0,0.0335,0.171,0.0000176,0.138,0.585,154.309,4
spotify:track:7vpvMspRgoeBTxOwP44a1Q,"In a Mood","In a Mood","TheSecondSex",2017-10-21,247500,0,false,brunocaivanophy,2024-07-01T06:40:27Z,"bedroom pop","638541 Records DK2",0.761,0.293,0,-19.087,1,0.0452,0.523,0.721,0.124,0.601,143.976,4
spotify:track:3bBmpVl9rQKJsFFGLFilIS,"Charcoal Baby","Negro Swan","Blood Orange",2018-08-24,242341,66,false,brunocaivanophy,2024-07-01T06:41:47Z,"art pop","Domino Recording Co",0.622,0.46,7,-8.389,0,0.0372,0.14,0.000369,0.119,0.514,183.241,4
spotify:track:378kN3QKgKwPMZ2cyfSDAS,"Bad Bitch Big Folks","White People Love Algorithms","Chris Crack",2020-04-19,123529,4,true,brunocaivanophy,2024-07-01T06:42:10Z,"boom bap,hip hop experimental","New Deal Collectives",0.616,0.568,8,-7.94,0,0.164,0.589,0,0.11,0.855,65.148,4
spotify:track:0np5Z16kIv9tNxPHQCK4zy,"Wings in Motion","333","Bladee",2020-07-16,144200,40,false,brunocaivanophy,2024-07-01T06:47:50Z,"cloud rap,hyperpop","YEAR0001",0.498,0.233,0,-12.764,1,0.0323,0.749,0.0000189,0.107,0.599,138.221,4
spotify:track:0fVV6rHbH5jao4GUHPh0BP,"Aleluya","Mudra","Dj Swet;Dano;Ébano",2017-04-22,237363,0,true,brunocaivanophy,2024-07-01T06:40:37Z,"hip hop latino,trap argentino","DJ Swet",0.636,0.491,7,-9.302,1,0.489,0.779,0.0000038,0.0562,0.856,141.012,4
spotify:track:0yocZjoDfRSIKpTMKY4EU8,".44","Structuralism","Alfa Mist",2019-04-26,599053,34,false,brunocaivanophy,2024-07-01T06:37:01Z,"nu jazz,jazz rap,indie jazz,jazz fusión,jazz","Sekito",0.615,0.444,7,-13.984,0,0.0445,0.224,0.798,0.0785,0.329,89.153,4
spotify:track:2jJulR1CTEuHsXpS6bGDou,"Just Ain't Gonna Work Out","A Strange Arrangement","Mayer Hawthorne",2009,150933,45,false,brunocaivanophy,2024-07-01T06:43:06Z,"retro soul,pop soul","Unknown",0.782,0.544,4,-5.448,1,0.0306,0.212,0.106,0.179,0.753,90.562,4
spotify:track:5Tta740wgBLoebIy8fWRWi,"Grass","Niagara","redveil;Cameron Bolden",2020-08-25,148750,38,true,brunocaivanophy,2024-07-01T06:44:26Z,"hip hop alternativo,hip hop experimental,hip hop underground","hvmor records",0.304,0.909,5,-5.591,0,0.381,0.529,0,0.505,0.415,152.596,4
spotify:track:3VGmwfhaeV5TMHGsmFexfC,"Sangre en el Paladar","Psychedelic Heavy Shit","Killtime",2016-11-22,256005,0,true,brunocaivanophy,2024-07-01T06:31:59Z,"","Killtime",0.745,0.555,1,-8.246,0,0.176,0.223,0,0.434,0.319,99.002,4
spotify:track:1fCslkNebF3uAAKKDcyty9,"Players (Instrumental)","Fantastic, Vol.2: Vinyl Instrumentals","Slum Village",2011-07-05,187431,29,false,brunocaivanophy,2024-07-01T06:46:37Z,"jazz rap","Ne'Astra Music",0.811,0.329,1,-7.975,1,0.362,0.134,0.212,0.0961,0.96,92.975,4
spotify:track:5ueFyFfJ6mDmN9LfWMONn2,"R.A.P","El Libro Negro","T&K",2018-09-28,147711,0,true,brunocaivanophy,2024-07-01T06:50:30Z,"boom bap,hip hop latino","T&K",0.734,0.705,1,-7.774,0,0.379,0.352,0.00177,0.296,0.898,80.592,4
spotify:track:1J6JGx1QOxXWvuiZigbtLL,"Skit","SP.I.","Mir Nicolas",2024-06-06,112879,30,false,brunocaivanophy,2024-07-01T06:50:56Z,"boom bap","Mir Nicolas",0.533,0.755,0,-8.512,0,0.09,0.83,0.00000856,0.141,0.403,112.875,4
spotify:track:01TyFEZu6mHbffsVfxgrFn,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,2,false,brunocaivanophy,2024-07-01T06:58:05Z,"bedroom pop,indie pop","Indie",0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4
spotify:track:7H7NyZ3G075GqPx2evsfeb,"Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,82,false,brunocaivanophy,2024-07-01T06:58:34Z,"indie,indie lo-fi","Captured Tracks",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
spotify:track:4OmfWzukSVD140NiAIEjem,"Static","Gemini Rights","Steve Lacy",2022-07-15,156538,70,true,brunocaivanophy,2024-07-01T07:00:49Z,"","L-M Records/RCA Records",0.335,0.305,1,-12.661,1,0.0741,0.434,0.631,0.101,0.215,79.001,5
spotify:track:1YgDGKyKhFlimPw3mLavPG,"Fancy Clown (feat. Viktor Vaughn)","Madvillainy","Madvillain;Madlib;MF DOOM;Viktor Vaughn",2004-03-24,115826,61,true,brunocaivanophy,2024-07-01T07:04:52Z,"hip hop experimental,hip hop alternativo,jazz rap,plunderphonics,East Coast hip hop","Stones Throw Records",0.537,0.753,8,-9.441,1,0.35,0.328,0.0000152,0.368,0.693,90.292,4
