Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:11aFVmFy8903RwDx4ohQiq,"Be (Intro)","Be","Common",2005-01-01,144200,55,true,brunocaivanophy,2024-10-14T19:47:52Z,"hip hop,jazz rap,neosoul","Geffen",0.62,0.755,7,-8.439,0,0.0917,0.225,0,0.468,0.191,93.703,4
spotify:track:759ndr57jb0URg4j9YSWml,"A Tale By Quincy","Dawn FM","The Weeknd",2022-01-06,96232,52,true,brunocaivanophy,2022-02-02T02:58:45Z,"","XO / Republic Records",0.447,0.513,5,-8.67,0,0.127,0.679,0.0000298,0.096,0.572,67.289,3
spotify:track:7eWGnKg4B44sbBPpQp4y2c,"Dragonball Durag","It Is What It Is","Thundercat",2020-04-03,181922,62,false,brunocaivanophy,2020-06-27T00:35:29Z,"","Brainfeeder",0.648,0.59,2,-9.664,1,0.0942,0.697,0.808,0.111,0.401,81.045,4
spotify:track:7vR5fD6K8I4tMazCBpqzJQ,"Pathways","BLK2LIFE || A FUTURE PAST","Theo Croker",2021-09-24,303522,11,false,brunocaivanophy,2023-01-22T21:54:50Z,"nu jazz,soul jazz,jazz,indie jazz","Masterworks",0.643,0.623,1,-11.317,1,0.0351,0.507,0.928,0.0802,0.632,119.963,4
spotify:track:5rke4qjSNbzN1KU2lFQ52G,"Amen","Amen","Jordan Lee",2022,207680,0,false,brunocaivanophy,2023-04-25T06:40:12Z,"","Garden Meyer Recordings",0.766,0.648,7,-11.079,1,0.0443,0.402,0.00633,0.129,0.592,103.991,4
spotify:track:48eyogX5MeZNgovSLo1fle,"Gaviotas","El Hombre Hace Planes, Dios Se Ríe","Dano;Escandaloso Xpósito;Halpe;Dj Swet",2023-01-27,261000,0,true,brunocaivanophy,2023-01-27T04:34:38Z,"trap argentino,hip hop latino,trap","MÉCÈN Ent. / Ziontifik Music",0.399,0.596,9,-11.387,0,0.33,0.358,0.0000282,0.655,0.548,75.196,4
spotify:track:0sl9YUGXnSWShiKKBJa41S,"2025","IDO","BIG MENU",2022-02-18,245173,0,false,brunocaivanophy,2022-03-29T16:31:34Z,"","BIG MENU Records distributed by Altafonte",0.639,0.524,10,-6.895,0,0.097,0.278,0,0.167,0.826,67.905,4
spotify:track:6L6d77z7kLOaizY5gPgUxl,"Cherokee","The Epic","Kamasi Washington",2015-05-04,494459,6,false,brunocaivanophy,2021-09-21T19:53:31Z,"jazz","Brainfeeder",0.635,0.622,10,-10.24,1,0.107,0.728,0.151,0.101,0.614,90.318,4
spotify:track:7GhABwVQ9rGFctR2YRiu8w,"Leroy","Olesi: Fragments of an Earth","Georgia Anne Muldrow",2006-08-22,153693,5,false,brunocaivanophy,2020-06-27T00:29:32Z,"neosoul,R&B alternativo","SomeOthaShip Connect",0.735,0.654,10,-7.551,0,0.295,0.0761,0.0000744,0.146,0.846,95.013,4
spotify:track:4cvmEup5ujVC0xjlrF62Gk,"Curly Martin","Velvet Portraits","Terrace Martin;Ronald Bruner, Jr.;Thundercat;Robert Glasper",2016-04-01,441839,0,false,brunocaivanophy,2020-06-26T23:35:28Z,"neosoul,nu jazz,jazz funk,jazz fusión,jazz rap","Ropeadope",0.279,0.558,5,-10.603,0,0.14,0.288,0.57,0.4,0.289,70.71,4
spotify:track:6dgL5vam9fm84uxZRcpTpq,"Donosiš","Jugo","Manu Beats",2022-12-16,165625,0,false,brunocaivanophy,2022-12-19T21:57:23Z,"","Ruanda Records",0.445,0.415,6,-11.319,1,0.0455,0.127,0.00929,0.221,0.311,74.754,4
spotify:track:2qI30ALiG2xOEhtHOhVkSj,"MAGICALLIFE!!!!!!!","Zion V: The Ballad Of Charles Douthit","9th Wonder",2020-12-18,83394,0,true,brunocaivanophy,2021-02-24T06:41:57Z,"hip hop alternativo","Jamla Records",0.773,0.46,10,-4.841,0,0.0478,0.0000256,0.497,0.111,0.609,184.253,4
spotify:track:46Ig1H3b0fxfq5G8xdH0uU,"Shyne","Shyne","Aqeelion;Ergo Pro",2022-01-28,170082,12,false,brunocaivanophy,2022-01-28T15:30:57Z,"canto gregoriano","Foehn Records",0.507,0.823,7,-7.046,0,0.178,0.00979,0,0.127,0.396,95.822,4
spotify:track:2VuykAwip0RSzJOrXVOdKg,"Ayla","Black Focus","Yussef Kamaal",2016-11-04,46080,0,false,brunocaivanophy,2020-06-27T00:51:18Z,"nu jazz,jazz fusión,indie jazz,jazz experimental,jazz funk,jazz","Brownswood Recordings",0.262,0.00815,1,-30.601,1,0.0402,0.981,0.503,0.111,0.0355,152.916,4
spotify:track:5AHg50evm5oYbgxtAHsO0H,"Catch The Loop","The Return","Kamaal Williams",2018-05-25,414946,0,false,brunocaivanophy,2020-06-27T00:45:28Z,"nu jazz,indie jazz,jazz funk,jazz fusión,jazz","Black Focus",0.603,0.464,11,-12.832,0,0.157,0.0413,0.852,0.16,0.617,153.886,4
