Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60I8gzPJXnvw7bRgW83jH5,"Pablo - Remasterizado 2023","B.A. Jazz by Jorge López Ruiz (Remasterizado 2023)","Jorge López Ruiz;Gato Barbieri;Roberto “Fats” Fernandez;Baby López Furst;Pichi Mazzei",1961-10-01,162773,9,false,brunocaivanophy,2025-04-11T16:24:04Z,"jazz latino,free jazz,smooth jazz,jazz afrocubano,jazz,jazz experimental","RP music - Radoszynski Producciones S.A.",0.657,0.226,8,-11.984,1,0.0393,0.597,0,0.18,0.403,120.57,4
spotify:track:7BHKusPakPRvR6OfPxwVAT,"Shadow Waltz","En Cuerpo y Alma","Enrique Villegas",1966-01-01,145533,0,false,brunocaivanophy,2025-04-11T16:16:09Z,"hard bop,free jazz","RP Music",0.478,0.403,7,-10.799,1,0.0455,0.849,0.882,0.101,0.583,98.708,4
spotify:track:0488kXJ1YnLMrrM1ssJnev,"Monk's Dream - Take 8","Monk's Dream","Thelonious Monk",1963,385466,44,false,brunocaivanophy,2025-04-11T16:18:30Z,"jazz,bebop,hard bop,cool jazz,free jazz","Columbia/Legacy",0.698,0.278,5,-15.425,1,0.0508,0.572,0.0233,0.105,0.77,81.079,4
spotify:track:1eLKRJTsopYSLP7Uo6YwIG,"Very Special - Remastered","Money Jungle","Duke Ellington",2002-01-01,266133,31,false,brunocaivanophy,2025-04-11T16:14:27Z,"jazz,big band,música swing,cool jazz,baladas de jazz","Blue Note Records",0.59,0.549,7,-9.221,1,0.0255,0.499,0.00244,0.212,0.706,95.355,4
spotify:track:0X5DcGkbxCXSadgj01ZXd7,"Autumn Leaves","Somethin' Else (Rudy Van Gelder Edition)","Cannonball Adderley",1958,659520,56,false,brunocaivanophy,2025-04-11T16:14:55Z,"hard bop,jazz,bebop,cool jazz,baladas de jazz","Blue Note Records",0.535,0.258,7,-9.499,0,0.033,0.768,0.0000895,0.115,0.281,110.953,4
spotify:track:1ElK0DA8jIlibviqd6LAOP,"Horizon","メロー ドリーム","Ryo Fukui",2016-03-30,570453,35,false,brunocaivanophy,2025-04-11T16:15:38Z,"jazz,jazz fusión,bebop","TRIO RECORDS",0.322,0.776,2,-11.697,0,0.0336,0.238,0.83,0.11,0.767,140.396,4
spotify:track:6JKPjzWmwJf3zr2RH0jHCE,"Variaciones Sobre Cuerpo y Alma (Body & Soul)","En Cuerpo y Alma","Enrique Villegas",1966-01-01,1170160,1,false,brunocaivanophy,2025-04-11T16:15:50Z,"hard bop,free jazz","RP Music",0.585,0.365,0,-10.478,1,0.0534,0.861,0.851,0.0935,0.387,122.784,4
spotify:track:5yEWKbO4FQHVNri0sUIouM,"Suite trane: III. Soprano","Suite trane in Memoriam John Coltrane","Alberto Favero;José Granata;Tomas Lepere;Rubén Barbieri;Emilio Martino;Robert Fats Fernandez;Gustavo Bergalli;Domingo Garrefa;Armando Izzi;Abel La Rosa;Jorge Ramirez;Christian Kellens;Jorge Rodríguez;Luis Chachi Ferreira;Santiago Bo;Horacio Chivo Borraro;Oscar Tissera;Mariano Grisiglione;Bernardo Baraj;Jorge González",2011-11-01,407360,0,false,brunocaivanophy,2025-04-11T16:17:44Z,"trova,nueva trova,cool jazz,candombe,tango,jazz latino,jazz ambient,free jazz,folklore argentino,rock latino","Acqua Records",0.387,0.296,7,-13.396,0,0.0335,0.824,0.865,0.186,0.308,94.794,4
spotify:track:4f0D7T8yswXUJ62AKLoMtS,"One For Daddy-O","Somethin' Else (Rudy Van Gelder Edition)","Cannonball Adderley",1958,505453,48,false,brunocaivanophy,2025-04-11T16:15:09Z,"hard bop,jazz,bebop,cool jazz,baladas de jazz","Blue Note Records",0.616,0.434,5,-7.257,0,0.031,0.581,0,0.131,0.404,108.467,4
spotify:track:2UePPVpvXblDbXsouvQURJ,"Moonglow","57","Escandaloso Xpósito;Toni Saigi;Carlos Falanga;Martín Leiton",2024-11-07,562000,5,false,brunocaivanophy,2025-04-11T16:17:54Z,"bebop","UnderPool",0.468,0.131,7,-15.964,1,0.0352,0.897,0.19,0.185,0.169,109.96,4
