Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2H7YDEf9NIMj4pocxVQQ0Q,"Dillalude #2","Black Radio Recovered: The Remix EP","Robert Glasper",2012-01-01,550866,24,false,brunocaivanophy,2025-12-10T17:38:03Z,"neosoul,jazz rap","Blue Note Records",0.556,0.417,6,-5.526,1,0.0291,0.0545,0.484,0.0961,0.446,89.814,4
spotify:track:3Wzng2K0kJ3M4jyKacjBp9,"Suite for Artis Gilmore","Where We Come From (Chicago x London Mixtape)","Makaya McCraven;Don Leisure;Darkhouse Family",2018-07-27,182346,0,false,brunocaivanophy,2025-06-24T18:45:37Z,"nu jazz,jazz experimental,indie jazz,jazz,free jazz","International Anthem",0.423,0.578,1,-9.664,0,0.0576,0.247,0.839,0.703,0.187,84.866,4
spotify:track:5LhJr8OdH9SQlIVP68d2Cw,"Jay Dee 13 - Instrumental","The King of Beats (Batch #2)","J Dilla",2015-02-07,140829,21,false,brunocaivanophy,2025-12-10T18:05:54Z,"plunderphonics,hip hop alternativo,jazz rap","Yancey Media Group",0.915,0.23,0,-10.306,1,0.427,0.295,0.842,0.0898,0.965,94.551,4
spotify:track:5DzSDSnB6RuDrdpYwzp0FF,"Fly Shit","1987","HOSS&SWET 1987;Hoss;Dj Swet",2025-05-16,156181,4,false,brunocaivanophy,2025-12-10T17:24:57Z,"hip hop latino","1987",0.642,0.583,10,-6.95,1,0.048,0.689,0.501,0.177,0.554,82.985,4
spotify:track:0yocZjoDfRSIKpTMKY4EU8,".44","Structuralism","Alfa Mist",2019-04-26,599053,34,false,brunocaivanophy,2025-06-24T18:48:50Z,"nu jazz,jazz rap,indie jazz,jazz fusión,jazz","Sekito",0.615,0.444,7,-13.984,0,0.0445,0.224,0.798,0.0785,0.329,89.153,4
spotify:track:1mlmcN5lG135sbXdK0V1X7,"Double Trouble","Alone Together","Karriem Riggins",2012-10-22,116946,31,false,brunocaivanophy,2025-06-24T18:49:18Z,"","Stones Throw Records",0.362,0.646,11,-6.42,1,0.0679,0.0577,0.503,0.197,0.536,81.916,4
spotify:track:3XE7GHaKAWNCFjfih93eOC,"Papaia","Sujinho","Jackson Conti",2008-06-17,603253,12,false,brunocaivanophy,2025-06-24T18:42:53Z,"jazz brasileño","Madlib Invazion",0.403,0.7,7,-9.377,1,0.0875,0.17,0.469,0.0782,0.501,153.183,4
spotify:track:6kPK6JPNSsWovpDcnfOIyQ,"Anointed Soul","YHWH is LOVE","Jahari Massamba Unit;Karriem Riggins;Madlib",2024-03-01,189418,16,false,brunocaivanophy,2025-06-24T18:46:47Z,"nu jazz,hip hop experimental,hip hop alternativo,jazz rap,plunderphonics","Law of Rhythm",0.803,0.638,1,-8.92,1,0.0318,0.00408,0.78,0.108,0.677,92.618,4
spotify:track:7KFOVRFwkM0Wou49pLqY7C,"DD.013","J Dilla's Delights, Vol. 1","J Dilla",2017-06-16,111521,0,false,brunocaivanophy,2025-12-10T17:27:47Z,"plunderphonics,hip hop alternativo,jazz rap","Yancey Media Group",0.743,0.098,1,-11.635,1,0.197,0.533,0.872,0.105,0.933,184.647,4
spotify:track:3QYlLOCX3lGdEQn8rsPxJh,"AGP RMX","AURA","Dj Swet;Jorge Pardo",2025-02-28,222000,3,false,brunocaivanophy,2025-06-24T18:47:35Z,"hip hop latino,flamenco,jazz latino","DjSwet",0.416,0.883,6,-6.017,0,0.079,0.00788,0.429,0.109,0.388,80.218,4
