Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2PzI5zpqHHEbb1czdNUXSm,"Stuff","Miles In The Sky (Expanded Edition)","Miles Davis",1968-07-22,1018160,22,false,brunocaivanophy,2026-01-07T16:31:04Z,"jazz,cool jazz,hard bop,bebop,jazz fusión,baladas de jazz,free jazz","Columbia/Legacy",0.499,0.447,8,-11.481,1,0.0402,0.142,0.304,0.228,0.397,124.443,4
spotify:track:0x9z9zmypzjXdRHiMyQ1gd,"Litha","Sweet Rain","Stan Getz",1967-07-01,503013,21,false,brunocaivanophy,2026-01-07T16:32:21Z,"bossa nova,jazz,jazz brasileño,cool jazz,jazz latino,baladas de jazz","Verve Reissues",0.455,0.265,0,-17.861,1,0.0372,0.91,0.326,0.13,0.354,107.841,3
spotify:track:7unF2ARDGldwWxZWCmlwDM,"A Love Supreme, Pt. II - Resolution","A Love Supreme","John Coltrane",1965-02,437840,46,false,brunocaivanophy,2026-01-07T16:26:18Z,"jazz,hard bop,free jazz,bebop,baladas de jazz,cool jazz","GRP",0.341,0.57,8,-11.71,1,0.0673,0.581,0,0.0966,0.392,89.754,4
spotify:track:4VJ6SQ5bzoWXZlTdaoI9Th,"The Vibe","The Vibe","Roy Hargrove",1992-04-08,392826,12,false,brunocaivanophy,2026-01-07T16:30:58Z,"jazz,baladas de jazz,jazz latino","RCA Novus",0.514,0.548,0,-11.7,1,0.0487,0.301,0.0796,0.131,0.567,117.338,4
spotify:track:0T1EaGm6b9eM7xBf4F1hlc,"Maiden Voyage - Remastered 1999/Rudy Van Gelder Edition","Maiden Voyage (Remastered 1999/Rudy Van Gelder Edition)","Herbie Hancock",1965-05-17,477093,50,false,brunocaivanophy,2026-01-07T16:26:28Z,"jazz,jazz fusión,jazz funk,hard bop,cool jazz","Blue Note Records",0.467,0.459,0,-9.706,0,0.0305,0.719,0.00312,0.0944,0.178,124.379,4
spotify:track:2Nvy4Vfb0y38VLvvJnwvtB,"Monk's Dream - Rudy Van Gelder 24Bit Mastering/Digital Remaster/1998","Unity (Remastered / Rudy Van Gelder Edition)","Larry Young",1999-01-01,348853,17,false,brunocaivanophy,2026-01-07T16:44:43Z,"hard bop,jazz,soul jazz,free jazz,bebop","Blue Note Records",0.446,0.755,0,-8.359,1,0.0493,0.385,0.344,0.155,0.675,116.685,3
spotify:track:4qRJ7ZJyfzchEd2fjle7Bz,"Search For Peace","The Real McCoy (Remastered / Rudy Van Gelder Edition)","McCoy Tyner",1967,392000,50,false,brunocaivanophy,2026-01-07T16:26:38Z,"jazz,hard bop,baladas de jazz,cool jazz,bebop,free jazz","Blue Note Records",0.456,0.222,0,-16.879,1,0.0354,0.938,0.806,0.24,0.15,112.725,4
spotify:track:1OYzVFN2Ydp3nywDL6RPe4,"First Trip","Speak Like A Child (Expanded Edition)","Herbie Hancock",1968-03-06,361626,21,false,brunocaivanophy,2026-01-07T16:28:16Z,"jazz,jazz fusión,jazz funk,hard bop,cool jazz","Blue Note Records",0.613,0.407,0,-12.729,1,0.0383,0.904,0.1,0.101,0.682,103.221,3
spotify:track:3KUSSxjujFcEGhnsm0qeDo,"Recorda Me","Page One","Joe Henderson",1963-10-01,361773,41,false,brunocaivanophy,2026-01-07T16:26:47Z,"hard bop,jazz,baladas de jazz,bebop,free jazz,cool jazz","Blue Note Records",0.654,0.444,0,-10.178,1,0.0631,0.954,0.864,0.126,0.624,90.575,4
spotify:track:2JITVZu8o6ls9k8SoMRy7w,"Footprints - Remastered","Adam's Apple (Rudy Van Gelder Edition)","Wayne Shorter",1967,449773,51,false,brunocaivanophy,2026-01-07T16:24:00Z,"hard bop,jazz,baladas de jazz,bebop,cool jazz,free jazz,jazz fusión","Blue Note Records",0.53,0.454,7,-11.19,0,0.028,0.768,0.116,0.113,0.492,135.947,3
spotify:track:0lELi5BqmUO4hXTFfAUf60,"Passion Dance","The Real McCoy (Remastered / Rudy Van Gelder Edition)","McCoy Tyner",1967,527426,32,false,brunocaivanophy,2026-01-07T16:26:54Z,"jazz,hard bop,baladas de jazz,cool jazz,bebop,free jazz","Blue Note Records",0.473,0.771,1,-8.653,1,0.0457,0.437,0,0.113,0.474,118.942,4
spotify:track:6AZl7WAq1CfMTbMfgvZLFn,"Blessing In Disguise","East Broadway Run Down","Sonny Rollins",1966-05-09,742960,16,false,brunocaivanophy,2026-01-07T16:27:03Z,"hard bop,jazz,bebop,baladas de jazz,cool jazz,free jazz","Verve Reissues",0.502,0.406,2,-10.967,1,0.0468,0.478,0.00705,0.087,0.489,117.355,4
spotify:track:3kltDmshkHJ924f2ZL2Qsy,"Mode For Joe - Remastered","Mode For Joe (Rudy Van Gelder Edition)","Joe Henderson",1966-09-01,480933,25,false,brunocaivanophy,2026-01-07T16:27:08Z,"hard bop,jazz,baladas de jazz,bebop,free jazz,cool jazz","Blue Note Records",0.563,0.315,5,-14.799,0,0.0301,0.86,0.0254,0.128,0.445,91.863,4
spotify:track:13VdXFe27FOq9CW2CJaxID,"Matrix","Now He Sings, Now He Sobs (Expanded Edition)","Chick Corea",1968-12-01,388160,35,false,brunocaivanophy,2026-01-07T16:27:15Z,"jazz fusión,jazz,jazz latino,free jazz","Blue Note Records",0.432,0.629,5,-10.583,0,0.0615,0.572,0.76,0.11,0.643,89.315,4
spotify:track:01L7NrYczCVyoQ91CmCtNw,"Riot","Speak Like A Child (Expanded Edition)","Herbie Hancock",1968-03-06,280146,24,false,brunocaivanophy,2026-01-07T16:27:21Z,"jazz,jazz fusión,jazz funk,hard bop,cool jazz","Blue Note Records",0.43,0.469,11,-13.236,1,0.0334,0.887,0.354,0.107,0.464,123.878,4
spotify:track:44MyZZa2SPW0BO9XcmlU9F,"Speedball","The Best Of Lee Morgan","Lee Morgan",1988-11-02,332373,14,false,brunocaivanophy,2026-01-07T16:27:50Z,"hard bop,jazz,bebop,baladas de jazz,cool jazz","Blue Note Records",0.617,0.618,1,-11.767,1,0.0339,0.564,0.019,0.292,0.849,98.924,4
spotify:track:5FsKNbwv7BlR7crawTE3IZ,"No Room For Squares - Remastered 2000 / Rudy Van Gelder Edition","No Room For Squares (Remastered 2000 / Rudy Van Gelder Edition)","Hank Mobley",2000-01-01,417720,30,false,brunocaivanophy,2026-01-07T16:27:59Z,"hard bop,jazz,bebop,baladas de jazz,cool jazz","Blue Note Records",0.561,0.748,0,-8.175,0,0.0551,0.598,0.00315,0.216,0.777,121.714,4
spotify:track:19naWBsLEkWKc61ERtQ3xm,"Hub-Tones - Remastered 1999/Rudy Van Gelder Edition","Hub-Tones","Freddie Hubbard",1999-01-01,504426,16,false,brunocaivanophy,2026-01-07T16:28:11Z,"hard bop,jazz,bebop,baladas de jazz,cool jazz,jazz funk","Blue Note Records",0.507,0.773,5,-7.273,1,0.0727,0.567,0.000234,0.149,0.691,128.269,4
spotify:track:05aZ2boQ1yuAD4p4HyORbK,"Inner Urge - Remastered 2004/Rudy Van Gelder Edition","Inner Urge (The Rudy Van Gelder Edition)","Joe Henderson",1966-03-01,718960,40,false,brunocaivanophy,2026-01-07T16:28:24Z,"hard bop,jazz,baladas de jazz,bebop,free jazz,cool jazz","Blue Note Records",0.364,0.679,5,-9.923,0,0.0642,0.497,0.00000643,0.217,0.45,79.9,3
spotify:track:31W4cIsWpn6zubliC06BsN,"Hand Jive","Nefertiti (Expanded Edition)","Miles Davis",1968-03,534573,17,false,brunocaivanophy,2026-01-07T16:28:30Z,"jazz,cool jazz,hard bop,bebop,jazz fusión,baladas de jazz,free jazz","Columbia/Legacy",0.374,0.621,7,-8.775,1,0.0395,0.0133,0.000277,0.215,0.334,130.154,4
