Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4HnULPrZfLPQBuOnQsMZY5,"Intro","Fan-Tas-Tic, Vol. 2","Slum Village",2009-01-26,85919,25,true,brunocaivanophy,2022-12-25T18:54:02Z,"jazz rap","Ne'Astra Music",0.855,0.567,0,-5.543,1,0.268,0.456,0.00000237,0.435,0.903,93.137,4
spotify:track:0yckQuMrsWybfb9Bnw1v7f,"Intro","Okayplayer / True Notes","?uestlove",2004-05-17,115693,0,false,brunocaivanophy,2021-09-30T18:23:59Z,"","Rapster Records",0.697,0.618,6,-6.441,1,0.0812,0.124,0.0219,0.818,0.741,96.98,4
spotify:track:16u0bhJR6giRIVAfExrEVC,"Brain","Dôme Ibiza - The Chill-Out Session, Vol. 2","Jungle Brothers",2003,282013,45,false,brunocaivanophy,2019-11-16T17:41:50Z,"jazz rap,hip house,hip hop vieja escuela,East Coast hip hop,house de chicago,acid house","House D'Arret",0.743,0.321,10,-11.308,0,0.35,0.41,0.0000882,0.168,0.458,92.007,4
spotify:track:6tc2nHTmQjXQXo2ybeVZB7,"Tainted","Trinity (Past, Present And Future)","Slum Village;Dwele",2002-08-13,266960,41,true,brunocaivanophy,2019-11-16T18:10:24Z,"jazz rap,neosoul","Priority Records",0.915,0.442,9,-6.321,0,0.226,0.0102,0.0000162,0.279,0.65,92.81,4
spotify:track:1B53Y95tPd4ah4FExO0egE,"What They Do","Illadelph Halflife","The Roots",1996-09-24,357200,63,true,brunocaivanophy,2019-11-16T17:46:01Z,"East Coast hip hop,jazz rap,hip hop","DGC",0.885,0.414,0,-10.539,1,0.166,0.341,0.000297,0.0891,0.684,92.727,4
spotify:track:01bbrBSTBa6mSVZKCG8KHQ,"Wngs","Yes Lawd!","NxWorries",2016-10-21,96600,0,true,brunocaivanophy,2019-11-16T17:55:32Z,"","Stones Throw Records",0.646,0.843,2,-7.246,1,0.114,0.329,0.0000197,0.194,0.729,77.084,4
spotify:track:0PV1TFUMTBrDETzW6KQulB,"93 'Til Infinity","93 'til Infinity","Souls Of Mischief",1993-02-13,286440,71,false,brunocaivanophy,2019-11-16T17:38:32Z,"jazz rap,hip hop vieja escuela","Jive",0.59,0.672,1,-11.792,1,0.412,0.125,0.00000104,0.147,0.688,206.247,4
spotify:track:11Yk4i4EolLpZrOddHLugX,"Regulate","Ghetto Millionaire","Royal Flush;Mic Geronimo",1997-08-19,196506,31,false,brunocaivanophy,2021-11-27T22:55:16Z,"East Coast hip hop,boom bap,hip hop underground,hip hop vieja escuela","Blunt Recordings",0.855,0.723,1,-7.41,1,0.242,0.0392,0,0.122,0.73,92.706,4
spotify:track:5eFXWt41pZquFAyD1bs9ln,"Thelonius","Like Water For Chocolate","Common;Slum Village",2000-03-28,281693,7,true,brunocaivanophy,2019-11-16T17:41:32Z,"hip hop,jazz rap,neosoul","Geffen*",0.845,0.544,11,-10.357,1,0.5,0.102,0.0000121,0.56,0.858,95.175,4
spotify:track:1RMPNcsNPhAtlpzbuSgH57,"So Far To Go feat. Common & D'Angelo","The Shining","J Dilla",2006-08-21,336813,0,false,brunocaivanophy,2019-11-16T17:38:17Z,"plunderphonics,hip hop alternativo,jazz rap","BBE",0.653,0.551,5,-5.383,0,0.0416,0.0075,0.000117,0.291,0.298,90.376,4
spotify:track:6XadDzmDVhtEQ1Itt5t8h8,"Git Up, Git Out (feat. Goodie Mob)","Southernplayalisticadillacmuzik","Outkast;Goodie Mob",1994-04-26,447026,49,true,brunocaivanophy,2019-11-16T17:52:40Z,"hip hop sureño,hip hop,hip hop vieja escuela","Arista/LaFace Records",0.843,0.578,4,-8.341,0,0.424,0.02,0,0.137,0.558,83.23,4
spotify:track:22apaLQ7vvCed6FADqU49E,"Silent Treatment","Do You Want More?!!!??!","The Roots",1995-01-17,412493,0,true,brunocaivanophy,2019-11-16T17:45:40Z,"East Coast hip hop,jazz rap,hip hop","DGC",0.668,0.367,9,-9.108,1,0.375,0.0237,0.0000597,0.0624,0.69,169.732,4
spotify:track:0cOsgDZ51wEcvCoMBsbRfZ,"Without A Doubt","Non-Fiction","Black Sheep",1994-12-06,246066,40,true,brunocaivanophy,2020-02-14T05:09:39Z,"East Coast hip hop,hip hop vieja escuela","Mercury Records",0.59,0.611,0,-10.825,1,0.355,0.00399,0.000234,0.307,0.395,177.513,4
spotify:track:0oipDSP2WW7wf5NeEjVxgK,"Soul Food","Soul Food","Goodie Mob",1995-11-06,236466,38,true,brunocaivanophy,2020-02-14T04:55:52Z,"hip hop sureño,hip hop vieja escuela","Arista/LaFace Records",0.928,0.494,4,-8.778,0,0.304,0.0711,0.0000816,0.0826,0.619,96.374,4
spotify:track:5Ru9OjtEw5htfnVKpYsIcv,"UMI Says","Black On Both Sides","Mos Def",1999-10-12,305280,54,true,brunocaivanophy,2019-11-16T17:44:42Z,"East Coast hip hop,hip hop vieja escuela,hip hop","Rawkus Entertainment",0.72,0.67,2,-10.224,1,0.132,0.305,0,0.0928,0.566,121.342,4
spotify:track:2UYPFtrIIaIQdxLCaFwjFu,"Without You (feat. Rapsody)","Malibu","Anderson .Paak;Rapsody",2016-01-15,199346,45,true,brunocaivanophy,2019-11-16T17:50:30Z,"","OBE / Apeshit, Inc / EMPIRE",0.626,0.916,7,-8.39,0,0.44,0.019,0,0.386,0.804,83.322,4
spotify:track:4X0iT8P3jzZObc2YPeFYFZ,"Don't See Us","Things Fall Apart","The Roots;Dice Raw",1999-02-23,270160,33,true,brunocaivanophy,2019-11-16T17:46:26Z,"East Coast hip hop,jazz rap,hip hop","Geffen",0.884,0.761,10,-5.719,0,0.316,0.12,0,0.18,0.779,95.881,4
spotify:track:51xZPwWfHZGav7v9gY3Zuu,"In the House","The Main Ingredient","Pete Rock & C.L. Smooth",1994-01-01,327106,36,false,brunocaivanophy,2019-11-16T18:54:17Z,"East Coast hip hop,jazz rap,hip hop vieja escuela,boom bap","Rhino/Elektra",0.783,0.642,1,-10.175,1,0.178,0.2,0.0761,0.193,0.612,94.035,4
spotify:track:79eDnbSBUXoSaoRPqUhTur,"Piece of Mind","B4.DA.$$","Joey Bada$$",2015-01-20,218634,11,true,brunocaivanophy,2019-11-16T17:50:15Z,"hip hop,jazz rap,rap","Cinematic Music Group",0.536,0.869,5,-5.224,0,0.183,0.44,0,0.748,0.902,88.733,1
spotify:track:65Q7Uaj1qh6XunO5rrcClt,"Insane","Trinity (Past, Present And Future)","Slum Village",2002-08-13,157800,13,true,brunocaivanophy,2019-11-16T18:08:32Z,"jazz rap","Priority Records",0.594,0.808,7,-7.416,1,0.574,0.0325,0,0.272,0.713,87.56,4
spotify:track:6kvp0Qi2GnQrm5yFdNC1tS,"The Blast - Live Album Version (Explicit)","Dave Chappelle's Block Party","Talib Kweli;Erykah Badu",2006-01-01,224226,12,true,brunocaivanophy,2019-11-16T17:41:06Z,"East Coast hip hop,hip hop,jazz rap,neosoul,R&B","Geffen",0.625,0.858,5,-5.552,0,0.266,0.545,0,0.847,0.725,97.708,4
spotify:track:3NkfdKze45xSCXB35E1ymv,"E=MC2 feat. Common","The Shining","J Dilla",2006-08-21,197640,0,false,brunocaivanophy,2019-11-16T17:52:16Z,"plunderphonics,hip hop alternativo,jazz rap","BBE",0.888,0.779,8,-3.782,1,0.272,0.0208,0,0.593,0.659,98.922,4
spotify:track:5c774Z1XUc3BGLp9cZckNf,"Ricky's Theme - Remastered 2009","Ill Communication (Deluxe Edition/Remastered)","Beastie Boys",1994-05-23,223373,0,false,brunocaivanophy,2019-11-16T17:42:30Z,"rap rock,hip hop vieja escuela,East Coast hip hop,hip hop","Capitol Records",0.567,0.525,9,-13.682,1,0.0277,0.0864,0.893,0.0843,0.357,93.843,4
spotify:track:4lRT9QREjmS8hQ0ETraMap,"Am I Confused?","Yessir Whatever","Quasimoto;Madlib",2013-06-18,173106,0,true,brunocaivanophy,2019-11-16T19:58:58Z,"hip hop experimental,hip hop alternativo,jazz rap,hip hop underground,plunderphonics","Stones Throw Records",0.755,0.658,1,-7.654,0,0.383,0.0747,0.00000107,0.041,0.592,178.64,4
spotify:track:5mUNFqUbA1bY9l1qT9tyHT,"Distant Land","Shades Of Blue: Madlib Invades Blue Note","Madlib",2003,238506,0,false,brunocaivanophy,2019-11-16T17:53:28Z,"hip hop experimental,hip hop alternativo,jazz rap,plunderphonics","Blue Note (BLU)",0.586,0.671,10,-9.787,0,0.0445,0.00333,0.916,0.0521,0.774,91.412,4
spotify:track:1mFI6Ycp2PWh19OknA9LkJ,"All Along The River","Rock Creek Park","Oddisee",2011-09-06,396329,0,false,brunocaivanophy,2019-11-16T18:21:32Z,"jazz rap","Mello Music Group",0.434,0.52,11,-14.56,0,0.0447,0.0424,0.908,0.135,0.498,163.981,4
spotify:track:1HeuJBxrVjtxLeEJKm8Tez,"Believe","The Renaissance","Q-Tip;D'Angelo",2008-11-04,176986,35,true,brunocaivanophy,2019-11-16T17:54:26Z,"East Coast hip hop,neosoul","Mr. Incognito Productions",0.774,0.693,5,-7.029,0,0.115,0.622,0,0.233,0.352,97.221,4
spotify:track:0Te2STFYHO3MzHLob4pFlo,"The Questions","Like Water For Chocolate","Common;Mos Def",2000-03-28,249266,0,true,brunocaivanophy,2019-11-16T17:52:01Z,"hip hop,jazz rap,neosoul,East Coast hip hop,hip hop vieja escuela","Universal Music Ltd.",0.841,0.385,7,-12.312,1,0.321,0.358,0,0.394,0.833,90.852,4
spotify:track:1av512SoWRXLhWc3qAcifc,"Lyk Dis","Yes Lawd!","NxWorries",2016-10-21,150760,0,true,brunocaivanophy,2019-11-16T17:55:39Z,"","Stones Throw Records",0.703,0.493,1,-6.217,0,0.278,0.0338,0,0.449,0.579,85.039,4
spotify:track:4Gk4wCc9qEbpLx3ttHDwxU,"Act Too (The Love Of My Life)","Things Fall Apart","The Roots",1999-02-23,294866,0,true,brunocaivanophy,2019-11-16T17:55:58Z,"East Coast hip hop,jazz rap,hip hop","Universal Music Group",0.721,0.635,1,-8.397,1,0.38,0.0659,0,0.0734,0.396,93.217,4
spotify:track:47mLjO0PtlGCoksg91BBhf,"Ghost","Pieces of a Man","Mick Jenkins",2018-10-26,214992,0,true,brunocaivanophy,2020-02-09T21:21:57Z,"jazz rap","Cinematic Music Group",0.578,0.645,8,-3.537,1,0.137,0.385,0,0.0892,0.753,120.016,3
