Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2OoS1aZFAFscH1cUiKlazH,"Refuse / Resist","Chaos A.D.","Sepultura",1993-09-02,199226,62,true,brunocaivanophy,2024-12-30T18:05:33Z,"thrash metal,groove metal,metal,death metal,nu metal,heavy metal,speed metal,metal alternativo","Roadrunner Records",0.475,0.953,2,-6.951,1,0.15,0.000291,0.00338,0.104,0.232,118.033,4
spotify:track:3fkCcM1txNmc5YsqfwiAQp,"Symbolic","Symbolic","Death",1995-03-19,392800,40,false,brunocaivanophy,2024-10-15T03:40:21Z,"death metal,metal,thrash metal,grindcore,death metal melódico","Roadrunner Records",0.364,0.982,6,-7.034,0,0.195,0.0000665,0.0124,0.163,0.127,113.772,4
spotify:track:5WC9WZykyYPwClVfalvMnS,"Astronomy Domine","Nothingface","Voivod",1989-01-01,330400,32,false,brunocaivanophy,2024-10-17T19:40:05Z,"thrash metal,metal progresivo,speed metal,metal,groove metal","Geffen*",0.342,0.888,2,-11.883,1,0.0463,0.000175,0.46,0.139,0.195,126.69,4
spotify:track:1ZozGivTAYsOwhy6LVHsPX,"Kool Thing","Goo","Sonic Youth",1990-01-01,246333,59,false,brunocaivanophy,2024-10-14T04:35:29Z,"noise rock,grunge,rock alternativo,post-punk","Geffen",0.262,0.82,7,-11.621,1,0.0428,0.0103,0.0914,0.101,0.254,155.197,4
spotify:track:4jISWzN06tMSHlZctvN6ds,"Lucero Del Alba","Del Entorno","Almafuerte",1996,294560,0,false,brunocaivanophy,2024-12-30T18:03:17Z,"rock argentino","Almafuerte",0.224,0.943,11,-3.688,0,0.0648,0.0000592,0.000015,0.119,0.413,94.356,4
spotify:track:1UBqvQDlcfRL0BaknLvn1J,"From Out of Nowhere","The Real Thing","Faith No More",1989,201133,50,false,brunocaivanophy,2024-12-28T19:13:46Z,"funk rock,metal alternativo,rap metal,grunge","London Records",0.276,0.989,0,-5.37,0,0.077,0.00102,0.006,0.264,0.0862,161.183,4
spotify:track:6noDJ06v7z8bCsBitjxFG2,"The Sentinel","Defenders Of The Faith","Judas Priest",1984,302066,55,false,brunocaivanophy,2024-12-30T18:13:27Z,"heavy metal,metal,rock pesado,glam metal","Columbia",0.15,0.863,9,-5.145,1,0.103,0.00268,0.00425,0.099,0.321,185.664,4
spotify:track:77EnjgcxEVog2LIgRnONbQ,"The Stargate [Tablet II]","Absolute Elsewhere","Blood Incantation;Tangerine Dream",2024-10-04,308476,43,false,brunocaivanophy,2024-10-15T03:58:44Z,"death metal,metal progresivo,krautrock,música espacial,rock espacial,rock progresivo,new age,ambient","Century Media",0.246,0.727,9,-10.239,0,0.0724,0.562,0.898,0.22,0.0652,144.379,4
spotify:track:0ntOLkPxjIPNLwWUtoYXX8,"De La Carne","Del Entorno","Almafuerte",1996,202200,0,false,brunocaivanophy,2024-12-30T18:03:32Z,"rock argentino","Almafuerte",0.308,0.945,11,-3.899,0,0.0937,0.000567,0.000335,0.375,0.411,132.84,4
spotify:track:1vmJFaauaFMqCtlWsknKwA,"Dopethrone - 2004 Remaster","Dopethrone (2004 Remaster)","Electric Wizard",2000-01-01,636226,43,false,brunocaivanophy,2024-10-17T19:46:56Z,"stoner metal,sludge metal,doom metal,drone metal,drone","Rise Above Records",0.172,0.733,3,-5.462,1,0.057,0.00000198,0.889,0.122,0.244,119.262,4
spotify:track:0kHXj7PnzoxdH9SHcj7Fzg,"Estalla Buenos Aires","Efecto Tequila","Lethal",1996-11-01,249613,0,false,brunocaivanophy,2024-12-30T18:00:19Z,"thrash metal","Tribal Producciones Internacionales",0.309,0.966,1,-7.494,1,0.119,0.000142,0.00521,0.156,0.311,123.545,3
spotify:track:7bvkBpcJnYHCuiyoDk9t3l,"The Message [Tablet I]","Absolute Elsewhere","Blood Incantation",2024-10-04,356919,41,false,brunocaivanophy,2024-10-15T04:06:33Z,"death metal,metal progresivo","Century Media",0.27,0.918,7,-6.992,0,0.128,0.00144,0.86,0.738,0.15,104.087,4
spotify:track:6rQG8QH1rGoCOeGHdrnYhb,"Funeralopolis - 2004 Remaster","Dopethrone (2004 Remaster)","Electric Wizard",2000-01-01,523333,51,false,brunocaivanophy,2024-10-17T19:47:19Z,"stoner metal,sludge metal,doom metal,drone metal,drone","Rise Above Records",0.188,0.674,11,-6.82,1,0.0493,0.0000137,0.89,0.113,0.297,125.152,4
