Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5h9qCxrIrS7atH6OEglH8X,"Quiet - 2011 Remaster","Siamese Dream (Deluxe Edition)","The Smashing Pumpkins",1993,222725,51,false,brunocaivanophy,2025-11-12T17:41:18Z,"rock alternativo,rock","Virgin Records",0.417,0.84,4,-7.861,1,0.032,0.0000122,0.58,0.278,0.255,98.649,4
spotify:track:1ZozGivTAYsOwhy6LVHsPX,"Kool Thing","Goo","Sonic Youth",1990-01-01,246333,59,false,brunocaivanophy,2025-11-12T18:08:44Z,"noise rock,grunge,rock alternativo,post-punk","Geffen",0.262,0.82,7,-11.621,1,0.0428,0.0103,0.0914,0.101,0.254,155.197,4
spotify:track:70ivy0IJQyLJTMqIqfRl27,"The Bog Body","viagr aboys","Viagra Boys",2025-04-25,173310,52,false,brunocaivanophy,2025-11-26T02:02:49Z,"post-punk,egg punk","Shrimptech Enterprises",0.365,0.951,4,-3.955,1,0.0939,0.0293,0.562,0.216,0.545,163.546,4
spotify:track:2lBY6uT887gK88JNLHcQHs,"Nuevo Dia","Sol Lucet Omnibus","Massacre",1992-08-04,237573,14,false,brunocaivanophy,2025-11-12T17:58:08Z,"rock argentino","Tommy Gun Records",0.197,0.777,7,-10.736,1,0.062,0.0000872,0.00231,0.273,0.327,165.81,4
spotify:track:6nKalL6gHTHFjcFk0WK6Ip,"Desert Cruiser","Gravity X","Truckfighters",2005-04-02,449946,45,false,brunocaivanophy,2025-11-12T17:42:19Z,"stoner rock,stoner metal,sludge metal,rock espacial,doom metal,rock psicodélico","Fuzzorama Records",0.198,0.756,1,-7.04,1,0.0518,0.00229,0.715,0.16,0.246,121.924,4
spotify:track:1UBqvQDlcfRL0BaknLvn1J,"From Out of Nowhere","The Real Thing","Faith No More",1989,201133,50,false,brunocaivanophy,2025-11-12T17:50:24Z,"funk rock,metal alternativo,rap metal,grunge","London Records",0.276,0.989,0,-5.37,0,0.077,0.00102,0.006,0.264,0.0862,161.183,4
spotify:track:6y20BV5L33R8YXM0YuI38N,"No One Knows","Songs For The Deaf","Queens of the Stone Age",2002-01-01,278746,73,false,brunocaivanophy,2025-11-16T18:57:01Z,"stoner rock,rock alternativo","Polydor Associated Labels",0.509,0.584,0,-4.907,1,0.057,0.0368,0.0000996,0.384,0.685,170.411,4
spotify:track:1icyef1nNmLusODA03FLGf,"Pink Turns to Blue","Zen Arcade","Hüsker Dü",1984-07-01,162933,38,false,brunocaivanophy,2025-11-12T17:42:57Z,"hardcore punk,punk,post-punk,noise rock,post-hardcore,proto-punk","SST Records",0.242,0.96,9,-11.85,1,0.0638,0.0000509,0.392,0.12,0.323,153.439,4
spotify:track:3cetxRqZToUg1EnvcmOd2J,"Vientos","The Art(E) of Romance","Fun People",1999-04-13,114373,34,false,brunocaivanophy,2025-11-12T17:42:10Z,"hardcore punk,hardcore melódico,punk,rock argentino","Ugly Records",0.261,0.715,9,-9.401,1,0.0343,0.000254,0.00025,0.0895,0.572,164.111,4
spotify:track:4qWjyFncOWS29Dg7WIzL1h,"FAKIN ROBOTS","CONSTIMORDOR","BARRO",2023-08-17,186000,21,true,brunocaivanophy,2025-11-12T17:45:45Z,"","BARRO",0.555,0.968,1,-3.435,0,0.0708,0.0000237,0.397,0.188,0.54,104.971,4
spotify:track:5gR6gTGOGsg9zcR7JhvwQz,"Man Made of Meat","viagr aboys","Viagra Boys",2025-04-25,189947,59,false,brunocaivanophy,2025-11-12T17:46:42Z,"post-punk,egg punk","Shrimptech Enterprises",0.624,0.89,7,-3.69,1,0.105,0.00395,0.0717,0.0568,0.716,143.952,4
spotify:track:5zITiikxJP51591PPTd0pU,"Magnolia","Lonely People With Power","Deafheaven",2025-03-28,254500,47,false,brunocaivanophy,2025-11-12T17:47:50Z,"black metal,shoegaze,post-rock","Roadrunner Records",0.153,0.924,2,-4.085,0,0.0842,0.00000344,0.955,0.0543,0.111,179.214,4
spotify:track:4X2nqt4Pu1lcmYYeuGBjkG,"Por Nacer","Del Entorno","Almafuerte",1996-01-01,178373,35,false,brunocaivanophy,2025-11-12T17:49:55Z,"rock argentino","DBN",0.252,0.961,4,-3.42,0,0.0706,0.000452,0.000474,0.0674,0.421,85.313,4
spotify:track:2YpGNSvoxXlCqUAh6uGomm,"Que Bien Te Vas","Que Bien Te Vas","Theo y Simón",2025-02-28,164163,14,false,brunocaivanophy,2025-11-12T17:47:31Z,"","Theo y Simón",0.464,0.913,4,-6.34,1,0.0359,0.000603,0.000379,0.105,0.492,151.906,4
spotify:track:5w6Ye2AD27qddEgTYPvSAq,"Return To Monke","Cave World","Viagra Boys",2022-07-08,388725,38,true,brunocaivanophy,2025-11-12T17:48:25Z,"post-punk,egg punk","YEAR0001",0.257,0.939,6,-3.068,0,0.108,0.00676,0.00111,0.422,0.216,78.485,4
spotify:track:0FpYnuKYFJXHAmHbS1CycY,"Feiticeira","White Pony","Deftones",2000,189760,60,true,brunocaivanophy,2025-11-12T17:57:37Z,"nu metal,metal alternativo,rap metal,shoegaze,rock","Rhino",0.196,0.97,8,-4.692,1,0.26,0.000404,0.0631,0.288,0.114,153.186,4
spotify:track:3orADyA33I0ZCuOU56TjQm,"Please Don't Cry, They Stopped Hours Ago","Just Got Back from the Discomfort We're Alright","Brave Little Abacus",2020-10-29,282762,36,false,brunocaivanophy,2025-11-12T18:00:43Z,"midwest emo,rock matemático,screamo,emo","2211422 Records DK2",0.212,0.394,7,-13.789,1,0.0403,0.0023,0.00477,0.774,0.234,129.8,4
spotify:track:4dhMxlB0xQXYafSN13NPft,"Patria al Hombro","Ultimando (Cotidiafonos Volumen 1)","Almafuerte",2003-01-01,232453,41,false,brunocaivanophy,2025-11-12T18:03:42Z,"rock argentino","DBN",0.244,0.955,9,-3.111,1,0.131,0.000932,0,0.139,0.461,161.811,4
spotify:track:6dUfUi14QkuIpGA0GFFPyC,"Supersonic - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,283786,63,false,brunocaivanophy,2025-11-12T18:12:53Z,"britpop,madchester","Big Brother",0.361,0.911,9,-2.853,1,0.0405,0.0000606,0.00752,0.0891,0.643,103.999,4
spotify:track:2BkJ7sbfCmjnaqQ2hpO0D4,"Yo Contra Yo","Nada Se Puede Comparar","Distante",2024-07-31,154567,19,false,brunocaivanophy,2025-11-12T18:16:36Z,"hardcore punk,hardcore","En El Desierto",0.428,0.821,11,-4.842,0,0.0811,0.0000612,0.0109,0.268,0.653,81.323,4
spotify:track:60wTHSJ0PxxwZDiSLiFaQX,"If Only","Queens of the Stone Age","Queens of the Stone Age",1998-09-22,202680,57,false,brunocaivanophy,2025-11-12T18:24:56Z,"stoner rock,rock alternativo","Matador",0.597,0.892,5,-4.484,0,0.0297,0.0716,0.195,0.0797,0.939,126.066,4
spotify:track:4kiVGEOrzWmEUCxXU21rtN,"John The Fisherman","They Can't All Be Zingers","Primus",2006-01-01,216733,57,false,brunocaivanophy,2025-11-12T18:25:37Z,"funk rock,metal alternativo,rock alternativo,nu metal","Interscope",0.604,0.948,7,-3.093,1,0.0595,0.000816,0.00714,0.0446,0.861,115.132,4
spotify:track:5Ds35L9KpUDKgSxZ6whuoQ,"We Die Young","Facelift","Alice In Chains",1990-08-01,151733,67,false,brunocaivanophy,2025-11-12T18:25:47Z,"grunge,post-grunge","Columbia",0.486,0.938,1,-6.652,1,0.0704,0.0000179,0.000103,0.361,0.525,125.816,4
spotify:track:5eyTC5GZzpzlN7YRO9AoPf,"The View From The Afternoon","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,222946,62,false,brunocaivanophy,2025-11-12T19:08:30Z,"indie,garage rock","Domino Recording Co",0.387,0.922,9,-5.192,0,0.0674,0.00487,0,0.187,0.417,146.478,4
spotify:track:2KylN9C0wNbzLgZNTG9oiU,"when you sleep","loveless","my bloody valentine",1991-11-04,251946,62,false,brunocaivanophy,2025-11-13T20:27:43Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.399,0.866,6,-9.72,1,0.0558,0.0000343,0.738,0.0785,0.125,128.864,4
spotify:track:0t4JQeO8qLKzQFcXuTitgk,"Leave Them All Behind - 2001 Remaster","Going Blank Again (Expanded)","Ride",1992-03-09,497466,44,false,brunocaivanophy,2025-11-13T20:28:15Z,"shoegaze,dream pop,britpop,madchester,jangle pop,slowcore,neopsicodélico","Rhino/Warner Records",0.282,0.846,4,-4.641,1,0.0728,0.0000829,0.482,0.521,0.174,184.617,4
spotify:track:6vvy5pRjQOXeigpYE2TDbZ,"Stuck on You","Fantastic Planet","Failure",1996,268933,48,false,brunocaivanophy,2025-11-13T20:29:38Z,"rock espacial,grunge,post-grunge,shoegaze","[PIAS] Recordings Catalogue",0.487,0.624,8,-6.711,1,0.0273,0.000377,0.00213,0.28,0.262,142.039,4
spotify:track:3mh3uLBvd7sOYnu15zxM91,"Atravesando Todo Limite","Acido Argentino","Hermetica",1991-01-01,240933,42,false,brunocaivanophy,2025-11-13T20:35:32Z,"rock argentino,heavy metal","DBN",0.451,0.839,11,-8.944,0,0.0703,0.0207,0.00000534,0.182,0.512,120.648,4
spotify:track:6GtX0jaNL8IjVQfrDBx81z,"Bullet With Butterfly Wings - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,258466,77,false,brunocaivanophy,2025-11-15T20:03:52Z,"rock alternativo,rock","Virgin Records",0.404,0.72,10,-9.18,0,0.0623,0.0000559,0.836,0.0466,0.475,121.864,4
spotify:track:0RlC8gQmtupGoklgc97LVa,"Some Kinda Hate","Static Age","Misfits",1997-01-01,121573,49,false,brunocaivanophy,2025-11-16T19:48:53Z,"horror punk,punk,psychobilly,hardcore punk","Astralwerks",0.426,0.947,0,-9.35,1,0.0484,0.0687,0.844,0.19,0.321,151.212,4
spotify:track:7bu0znpSbTks0O6I98ij0W,"Tonight, Tonight - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,254626,71,false,brunocaivanophy,2025-11-17T23:32:07Z,"rock alternativo,rock","Virgin Records",0.277,0.67,6,-9.381,1,0.0376,0.0000628,0.751,0.237,0.217,148.342,4
spotify:track:6BT7qiDY4A5tOyklohjQuW,"Monkey Gone to Heaven","Doolittle","Pixies",1989-04-17,175333,63,false,brunocaivanophy,2025-11-20T17:57:49Z,"rock alternativo","4AD",0.654,0.39,6,-10.638,0,0.0307,0.00418,0.0069,0.271,0.566,116.572,4
spotify:track:5X9c0LL84kJN8Ok2UC6B6w,"Dirty Boots","Goo","Sonic Youth",1990-01-01,328560,50,false,brunocaivanophy,2025-11-20T17:58:00Z,"noise rock,grunge,rock alternativo,post-punk","Geffen",0.314,0.665,11,-13.868,0,0.039,0.208,0.216,0.0751,0.182,141.906,4
spotify:track:6hqIXyo6GxydAnoI8XeIrV,"Rusty Cage - Remastered 2016","Badmotorfinger (25th Anniversary Remaster)","Soundgarden",1991-10-08,266200,62,false,brunocaivanophy,2025-11-20T17:58:09Z,"grunge,post-grunge,rock pesado","A&M",0.307,0.917,9,-7.599,1,0.0977,0.0000165,0.00044,0.0566,0.266,101.879,4
spotify:track:2tk6DxeaWPqjidof2LtGcL,"Dethroned","Cavalcade","black midi",2021-05-26,302879,32,false,brunocaivanophy,2025-11-21T19:18:00Z,"noise rock,post-punk,art rock,rock matemático","Rough Trade",0.343,0.702,11,-8.605,0,0.0712,0.13,0.549,0.64,0.232,144.909,4
spotify:track:3ow0TQVttXQF8rLckmXgRx,"Cherub Rock - 2011 Remaster","Siamese Dream (Deluxe Edition)","The Smashing Pumpkins",1993,298253,66,false,brunocaivanophy,2025-11-22T19:19:06Z,"rock alternativo,rock","Virgin Records",0.382,0.867,9,-7.426,1,0.0399,0.00000591,0.581,0.196,0.453,87.309,4
spotify:track:6JvEXmRh3l2acBzvqavgT9,"Love Spreads","Second Coming","The Stone Roses",1994-12-05,347093,60,false,brunocaivanophy,2025-11-23T17:34:57Z,"madchester,britpop,jangle pop","Geffen",0.435,0.88,2,-8.451,1,0.0448,0.00265,0.0014,0.436,0.593,91.116,4
spotify:track:6dgNSYxHgPruJtgISdi61C,"Up the Bracket","Up the Bracket","The Libertines",2002-10-14,158546,44,false,brunocaivanophy,2025-11-23T17:35:32Z,"britpop,garage rock,indie rock,indie","Rough Trade",0.326,0.908,9,-2.696,1,0.0738,0.0118,0,0.367,0.587,182.521,4
spotify:track:1dyTcli07c77mtQK3ahUZR,"Just","The Bends","Radiohead",1995-03-13,234800,74,false,brunocaivanophy,2025-11-23T17:38:18Z,"art rock,rock alternativo","XL Recordings",0.291,0.767,7,-6.913,0,0.0862,0.000401,0.012,0.0763,0.359,175.702,4
spotify:track:3mwvKOyMmG77zZRunnxp9E,"Buddy Holly","Weezer","Weezer",1994-05-10,159226,78,false,brunocaivanophy,2025-11-23T17:38:55Z,"rock alternativo","DGC",0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4
spotify:track:4LGKzrdEeBwR9UHCGlDT0W,"I'll Stick Around","Foo Fighters","Foo Fighters",1995-07-04,232533,58,false,brunocaivanophy,2025-11-23T17:41:11Z,"rock,post-grunge,rock alternativo,grunge","RCA Records Label",0.306,0.985,0,-6.687,1,0.0822,0.00254,0.626,0.13,0.255,133.963,4
spotify:track:47daaR9V5NnoSo68Geb8wm,"Black Math","Elephant","The White Stripes",2003-04-01,183973,49,false,brunocaivanophy,2025-11-23T17:42:05Z,"garage rock,blues rock,rock,rock alternativo","Legacy Recordings",0.18,0.986,2,-4.244,1,0.409,0.0103,0.00313,0.0697,0.388,179.455,4
spotify:track:065GxYGKiZ011pvr6VhT1b,"LAST DINOSAUR","HAPPY BIVOUAC","the pillows",1999-12-02,226973,37,false,brunocaivanophy,2025-11-23T17:44:51Z,"j-rock,indie japonés,anime","JPU Records Ltd.",0.248,0.956,0,-2.969,1,0.0587,0.0000217,0.000298,0.101,0.212,84.824,4
spotify:track:0oxYB9GoOIDrdzniNdKC44,"When the Sun Hits","Souvlaki","Slowdive",1993,285906,78,false,brunocaivanophy,2025-11-23T17:48:01Z,"shoegaze,dream pop,slowcore","Creation Records",0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,4
spotify:track:1P0ooWu6ITsbPpJ7B51bYq,"I Do","Okey Dokey","boom boom kid",2001-10-14,139733,37,false,brunocaivanophy,2025-11-23T19:01:07Z,"rock argentino,hardcore melódico,hardcore punk,punk","Ugly Records",0.383,0.599,7,-5.511,0,0.11,0.197,0,0.0747,0.419,163.172,4
spotify:track:4iqKxmIaivhpczzqgWwvwh,"Connector Fuck Man","tx3k","Texas 3000",2023-11-15,194520,26,true,brunocaivanophy,2025-11-24T20:01:09Z,"plunderphonics,midwest emo","Texas 3000",0.315,0.796,8,-6.673,1,0.077,0.0000565,0.0223,0.107,0.187,90.95,4
