Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4O9Af9tLDms3pGri4MjsIw,"O.C.O.E. (Official Cat Of The Eighties)","Pages","Pages",1981,300000,38,false,brunocaivanophy,2020-07-10T13:53:27Z,"yacht rock,aor,soft rock","Capitol Records",0.785,0.6,1,-8.261,1,0.0686,0.0724,0.0136,0.149,0.746,104.818,4
spotify:track:5GvWrvLIqoHroq7YvO260M,"I Keep Forgettin' (Every Time You're Near)","If That's What It Takes","Michael McDonald",1982-08-03,222280,69,false,brunocaivanophy,2020-07-10T13:49:41Z,"yacht rock","Reprise",0.734,0.485,4,-13.865,0,0.0465,0.357,0.00019,0.0401,0.933,95.321,4
spotify:track:6JHXiRD1QjMK1N6AQEnL04,"Biggest Part of Me","One Eighty","Ambrosia",1980-03-26,324040,64,false,brunocaivanophy,2020-07-10T13:49:49Z,"yacht rock,soft rock","RT Industries",0.498,0.723,10,-8.053,1,0.05,0.238,0,0.353,0.882,153.227,4
spotify:track:2yBVeksU2EtrPJbTu4ZslK,"What a Fool Believes","Minute by Minute","The Doobie Brothers",1978,223866,76,false,brunocaivanophy,2020-07-10T13:49:44Z,"yacht rock,rock clásico,soft rock,rock sureño","Rhino/Warner Records",0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,4
spotify:track:0YO8KsprTrEUEvJevpI7Na,"This Is It","Keep The Fire","Kenny Loggins",1979,236733,56,false,brunocaivanophy,2020-07-10T13:49:46Z,"yacht rock","Columbia",0.641,0.497,7,-12.228,0,0.029,0.254,0.00000215,0.158,0.743,102.274,4
spotify:track:1tjK9HhmpEfk0ijyIKsoUk,"Hey Nineteen","Gaucho","Steely Dan",1980,307400,1,false,brunocaivanophy,2020-07-10T13:49:51Z,"yacht rock,rock clásico","Geffen*",0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629,4
spotify:track:37BTh5g05cxBIRYMbw8g2T,"Rosanna","Toto IV","TOTO",1982-04-08,330943,77,false,brunocaivanophy,2020-07-10T13:49:53Z,"yacht rock,soft rock","Columbia",0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647,4
spotify:track:3DxiTHdYJm5yi7VJfg7rtJ,"Tempo Rei","Raça Humana","Gilberto Gil",1984-01-01,309400,0,false,brunocaivanophy,2020-07-10T13:49:02Z,"MPB,bossa nova,forró tradicional,samba","Palco WMB",0.66,0.571,7,-9.103,1,0.0285,0.148,0.00758,0.216,0.732,123.831,4
spotify:track:0nlZjTPzW6S9JIESuGfImT,"Lowdown","Silk Degrees","Boz Scaggs",1976,315640,0,false,brunocaivanophy,2020-07-10T13:49:56Z,"yacht rock,aor","Columbia/Legacy",0.662,0.788,11,-5.544,0,0.0635,0.0812,0.141,0.0351,0.929,116.499,4
spotify:track:3GVhCuS4BRxCTvVj4Cmc8w,"How Much I Feel","Life Beyond L.A.","Ambrosia",1978,283400,66,false,brunocaivanophy,2020-07-10T13:50:03Z,"yacht rock,soft rock","RT Industries",0.667,0.513,4,-7.96,1,0.026,0.305,0,0.0851,0.518,95.306,4
spotify:track:34D6mvDTAPypm92EPs8Rxa,"Reminiscing - Remastered","Sleeper Catcher (Remastered)","Little River Band",1978,253080,1,false,brunocaivanophy,2020-07-10T13:50:03Z,"yacht rock,soft rock","EMI Music Australia",0.54,0.465,7,-11.259,1,0.0302,0.652,0.00544,0.132,0.341,94.731,4
spotify:track:3MshXF4YQRoFw82plcsUge,"Steal Away","Robbie Dupree","Robbie Dupree",1980,206733,59,false,brunocaivanophy,2020-07-10T13:50:53Z,"yacht rock,aor,soft rock","Rhino/Elektra",0.676,0.624,2,-9.213,1,0.0345,0.434,0.0398,0.576,0.661,122.261,4
spotify:track:1I7zHEdDx8Ny5RxzYPqsU2,"Reelin' In The Years","Can't Buy A Thrill","Steely Dan",1972-01-01,275466,1,false,brunocaivanophy,2020-07-10T13:51:16Z,"yacht rock,rock clásico","Geffen*",0.523,0.758,2,-9.81,1,0.0403,0.133,0,0.0952,0.766,135.437,4
spotify:track:1tjK9HhmpEfk0ijyIKsoUk,"Hey Nineteen","Gaucho","Steely Dan",1980,307400,1,false,brunocaivanophy,2020-07-10T13:51:19Z,"yacht rock,rock clásico","Geffen*",0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629,4
spotify:track:2SkcfuzAoyrBWkdbxn7Lu1,"Time Out Of Mind","Gaucho","Steely Dan",1980,252413,0,false,brunocaivanophy,2020-07-10T13:51:28Z,"yacht rock,rock clásico","Geffen*",0.898,0.463,2,-10.777,1,0.0596,0.148,0.0169,0.0383,0.952,124.397,4
spotify:track:2MaLglXXcouyoh03rUROQ2,"Peg","Aja","Steely Dan",1977-01-01,240333,0,false,brunocaivanophy,2020-07-10T13:51:37Z,"yacht rock,rock clásico","Geffen*",0.797,0.559,0,-11.086,1,0.032,0.0521,0.000232,0.138,0.932,116.97,4
spotify:track:4i74K8KnsOQy8mC1cQ24NL,"Josie","Aja","Steely Dan",1977-01-01,270760,0,false,brunocaivanophy,2020-07-10T13:51:42Z,"yacht rock,rock clásico","Geffen*",0.741,0.399,4,-11.207,0,0.0406,0.256,0.000359,0.0762,0.602,121.827,4
spotify:track:09eH20NK3LPFPcRw3x5RBS,"The Caves Of Altamira","The Royal Scam","Steely Dan",1976-01-01,213800,0,false,brunocaivanophy,2020-07-10T13:51:49Z,"yacht rock,rock clásico","Geffen*",0.671,0.565,6,-12.034,0,0.0498,0.103,0.000598,0.187,0.787,79.12,4
spotify:track:6bzwsAtj4TqaBysLDrGiO3,"I.G.Y.","The Nightfly","Donald Fagen",1982-10-29,363413,57,false,brunocaivanophy,2020-07-10T13:52:00Z,"yacht rock,aor,jazz pop","Reprise",0.834,0.559,8,-9.366,0,0.0603,0.614,0.00434,0.0839,0.874,119.422,4
spotify:track:7icC0mHYpROmIRhpa2DaFC,"The Nightfly","The Nightfly","Donald Fagen",1982-10-29,347333,47,false,brunocaivanophy,2020-07-10T13:52:04Z,"yacht rock,aor,jazz pop","Reprise",0.832,0.509,7,-8.918,1,0.0306,0.34,0.000793,0.15,0.844,105.986,4
spotify:track:47k3zRepwe5AziS9exh2MF,"Trans-Island Skyway","Kamakiriad","Donald Fagen",1993-05-25,390106,36,false,brunocaivanophy,2020-07-10T13:52:11Z,"yacht rock,aor,jazz pop","Reprise",0.768,0.372,7,-15.826,1,0.0515,0.0469,0.00103,0.0645,0.415,102.944,4
spotify:track:2NtqZmfRIDkXJ2YvY2Kv1F,"Lido Shuffle","Silk Degrees","Boz Scaggs",1976,221613,0,false,brunocaivanophy,2020-07-10T13:52:23Z,"yacht rock,aor","Columbia/Legacy",0.593,0.783,10,-4.716,1,0.0358,0.0165,0.0000726,0.167,0.646,141.345,4
spotify:track:3XJC8vRhbtm3NzHXE1XAta,"If I Saw You Again (2024 Remaster)","Pages (2024 Remaster)","Pages",1978-11-26,204374,50,false,brunocaivanophy,2020-07-10T13:52:59Z,"yacht rock,aor,soft rock","Legacy Recordings",0.757,0.425,0,-13.619,0,0.0364,0.226,0.000022,0.21,0.854,109.532,4
spotify:track:5xnOk0gOwfhfnEY6cfYo5B,"You Need A Hero","Pages","Pages",1981,223160,43,false,brunocaivanophy,2020-07-10T13:53:03Z,"yacht rock,aor,soft rock","Capitol Records",0.684,0.554,1,-10.01,0,0.0378,0.483,0.000472,0.0731,0.827,157.196,4
spotify:track:2sU3JOEN7alL7ri5TEFcK9,"Clearly Kim (2024 Remaster)","Pages (2024 Remaster)","Pages",1978-11-26,204437,34,false,brunocaivanophy,2020-07-10T13:53:15Z,"yacht rock,aor,soft rock","Legacy Recordings",0.634,0.563,5,-14.243,0,0.0427,0.0304,0.0323,0.106,0.855,94.545,4
spotify:track:0lwHorTzvh8D4pQaWFYqnn,"Livin' It Up","Bill LaBounty","Bill LaBounty",1982-01-01,261959,46,false,brunocaivanophy,2020-07-10T13:53:45Z,"yacht rock,aor,soft rock","Curb Records",0.62,0.355,5,-14.081,0,0.0398,0.402,0.00619,0.0585,0.659,84.181,4
spotify:track:3AFGpmbpdctoSsLYiu07vl,"Nothin' You Can Do About It","Airplay","Airplay",1980-11-15,287373,44,false,brunocaivanophy,2020-07-10T13:53:57Z,"yacht rock,aor,disco italiano,soft rock","Legacy Recordings",0.639,0.581,5,-12.552,0,0.0334,0.464,0.00000153,0.357,0.56,75.716,4
spotify:track:5CTJzYcQhB3UhYaVX10xC0,"Questa insostenibile leggerezza dell'essere","Venditti E Segreti","Antonello Venditti",1986-11-01,262733,27,false,brunocaivanophy,2020-07-10T13:54:18Z,"cantautor italiano,cantautores","Heinz Music",0.706,0.611,2,-10.771,0,0.0276,0.141,0.00000173,0.123,0.753,116.136,4
spotify:track:4mGDtUyNxu4ZDqwMAwHh1Q,"JoJo","Hits!","Boz Scaggs",2006,352066,46,false,brunocaivanophy,2020-07-10T13:54:38Z,"yacht rock,aor","Columbia/Legacy",0.678,0.618,5,-7.304,0,0.0325,0.261,0.002,0.12,0.887,94.851,4
spotify:track:5ZONfpC7oPrcOLU7F2Ne7O,"Further Notice","Larsen/Feiten Band","Larsen/Feiten Band",1980,214733,20,false,brunocaivanophy,2020-07-10T13:54:54Z,"yacht rock,aor,soft rock","Rhino/Warner Records",0.583,0.515,0,-14.375,1,0.0307,0.019,0.876,0.0727,0.931,126.844,4
spotify:track:1xnAW9r7Tb71fIeTENCkYk,"Aztec Legend","Larsen/Feiten Band","Larsen/Feiten Band",1980,286026,13,false,brunocaivanophy,2020-07-10T13:55:00Z,"yacht rock,aor,soft rock","Rhino/Warner Records",0.438,0.589,0,-16.665,1,0.0372,0.0943,0.893,0.0989,0.675,173.196,4
spotify:track:1bKfYwo0uhr8mtbN7pZQhg,"Phantom of the Footlights","Full Moon featuring Neil Larsen and Buzz Feiten","Larsen/Feiten Band",1982,253933,27,false,brunocaivanophy,2020-07-10T13:55:22Z,"yacht rock,aor,soft rock","Rhino/Warner Records",0.66,0.411,2,-14.091,0,0.0403,0.383,0.000195,0.562,0.814,140.92,4
spotify:track:5dFoWIiJ2814hRwMYDcFiU,"She's Gone","Abandoned Luncheonette","Daryl Hall & John Oates",1973-01-01,313373,67,false,brunocaivanophy,2020-07-10T13:55:31Z,"yacht rock,soft rock","Rhino Atlantic",0.523,0.341,4,-14.034,1,0.0388,0.313,0.000114,0.621,0.355,77.487,4
